Geneid	GSM1842140	GSM1842141	GSM1842142	GSM1842143	GSM1842144	GSM1842145	GSM1842146	GSM1842147	GSM1842148	GSM1842149	GSM1842150	GSM1842151	GSM1842152	GSM1842153	GSM1842154
ENSMUSG00000102001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025774	0	2	2	0	0	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000070977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067773	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
ENSMUSG00000101685	1	3	2	0	1	0	0	0	0	0	8	0	0	10	0
ENSMUSG00000101306	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088800	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101644	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089787	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042596	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100720	16	11	10	21	10	5	6	0	1	3	0	67	0	14	2
ENSMUSG00000025927	4716	5648	26	3203	3091	38	12	1723	1756	2051	2491	4065	1718	18025	2194
ENSMUSG00000100538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101117	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100204	13	17	17	12	12	14	5	18	6	10	2	1	0	73	14
ENSMUSG00002076883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102597	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043760	6	26	8	2	3	0	2	12	0	0	0	0	0	21	4
ENSMUSG00000104095	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090142	4	1	0	4	0	0	1	0	0	0	18	0	0	5	0
ENSMUSG00000070175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099906	0	11	5	2	0	15	0	0	1	0	0	0	0	2	0
ENSMUSG00000065559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025929	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000041872	3	12	19	6	6	18	8	0	0	0	0	0	0	0	0
