geneSymbol	CellType	Source
MS4A1	B cells: Immune system	PanglaoDB
CR2	B cells: Immune system	PanglaoDB
CD22	B cells: Immune system	PanglaoDB
CD40	B cells: Immune system	PanglaoDB
CD69	B cells: Immune system	PanglaoDB
CD70	B cells: Immune system	PanglaoDB
CD79A	B cells: Immune system	PanglaoDB
CD79B	B cells: Immune system	PanglaoDB
CD80	B cells: Immune system	PanglaoDB
CD86	B cells: Immune system	PanglaoDB
TNFRSF9	B cells: Immune system	PanglaoDB
SDC1	B cells: Immune system	PanglaoDB
TNFSF4	B cells: Immune system	PanglaoDB
TNFRSF13B	B cells: Immune system	PanglaoDB
TNFRSF13C	B cells: Immune system	PanglaoDB
PDCD1	B cells: Immune system	PanglaoDB
IGHD	B cells: Immune system	PanglaoDB
IGHM	B cells: Immune system	PanglaoDB
RASGRP3	B cells: Immune system	PanglaoDB
LTB	B cells: Immune system	PanglaoDB
FLI1	B cells: Immune system	PanglaoDB
CD14	B cells: Immune system	PanglaoDB
SEMA6D	B cells: Immune system	PanglaoDB
LAIR1	B cells: Immune system	PanglaoDB
IFIT3	B cells: Immune system	PanglaoDB
IGLL1	B cells: Immune system	PanglaoDB
DNTT	B cells: Immune system	PanglaoDB
MME	B cells: Immune system	PanglaoDB
SPN	B cells: Immune system	PanglaoDB
CD19	B cells: Immune system	PanglaoDB
CD27	B cells: Immune system	PanglaoDB
B3GAT1	B cells: Immune system	PanglaoDB
CD72	B cells: Immune system	PanglaoDB
MUM1	B cells: Immune system	PanglaoDB
PAX5	B cells: Immune system	PanglaoDB
JCHAIN	B cells: Immune system	PanglaoDB
MZB1	B cells: Immune system	PanglaoDB
LY6D	B cells: Immune system	PanglaoDB
H2-DMB2	B cells: Immune system	PanglaoDB
FCMR	B cells: Immune system	PanglaoDB
BANK1	B cells: Immune system	PanglaoDB
EDEM1	B cells: Immune system	PanglaoDB
VPREB3	B cells: Immune system	PanglaoDB
H2-OB	B cells: Immune system	PanglaoDB
POU2AF1	B cells: Immune system	PanglaoDB
CRELD2	B cells: Immune system	PanglaoDB
DERL3	B cells: Immune system	PanglaoDB
SIGLECG	B cells: Immune system	PanglaoDB
RALGPS2	B cells: Immune system	PanglaoDB
FCHSD2	B cells: Immune system	PanglaoDB
POLD4	B cells: Immune system	PanglaoDB
CMAH	B cells: Immune system	PanglaoDB
TNFRSF17	B cells: Immune system	PanglaoDB
HVCN1	B cells: Immune system	PanglaoDB
TRP53INP1	B cells: Immune system	PanglaoDB
FCRLA	B cells: Immune system	PanglaoDB
EDEM2	B cells: Immune system	PanglaoDB
BLNK	B cells: Immune system	PanglaoDB
H2-OA	B cells: Immune system	PanglaoDB
TXNDC11	B cells: Immune system	PanglaoDB
BTLA	B cells: Immune system	PanglaoDB
SMAP2	B cells: Immune system	PanglaoDB
SCD1	B cells: Immune system	PanglaoDB
FKBP11	B cells: Immune system	PanglaoDB
SEC61A1	B cells: Immune system	PanglaoDB
SPCS3	B cells: Immune system	PanglaoDB
SPIB	B cells: Immune system	PanglaoDB
EAF2	B cells: Immune system	PanglaoDB
CXCR4	B cells: Immune system	PanglaoDB
BIRC3	B cells: Immune system	PanglaoDB
IGLC2	B cells: Immune system	PanglaoDB
IGLC3	B cells: Immune system	PanglaoDB
IGLC1	B cells: Immune system	PanglaoDB
IL21R	B cells: Immune system	PanglaoDB
IGKC	B cells: Immune system	PanglaoDB
IGLV1	B cells: Immune system	PanglaoDB
VPREB1	B cells: Immune system	PanglaoDB
VPREB2	B cells: Immune system	PanglaoDB
LRMP	B cells: Immune system	PanglaoDB
KLHL6	B cells: Immune system	PanglaoDB
SLAMF6	B cells: Immune system	PanglaoDB
FAM129C	B cells: Immune system	PanglaoDB
BST1	B cells: Immune system	PanglaoDB
MSH5	B cells: Immune system	PanglaoDB
DOK3	B cells: Immune system	PanglaoDB
BACH2	B cells: Immune system	PanglaoDB
FCER2A	B cells: Immune system	PanglaoDB
PXK	B cells: Immune system	PanglaoDB
IGHG1	B cells: Immune system	PanglaoDB
IGHG3	B cells: Immune system	PanglaoDB
IGHA	B cells: Immune system	PanglaoDB
CD38	B cells: Immune system	PanglaoDB
PTPRC	B cells: Immune system	PanglaoDB
EBF1	B cells: Immune system	PanglaoDB
BCL11A	B cells: Immune system	PanglaoDB
CCR7	B cells: Immune system	PanglaoDB
CD55	B cells: Immune system	PanglaoDB
CD74	B cells: Immune system	PanglaoDB
CD52	B cells: Immune system	PanglaoDB
TLR9	B cells: Immune system	PanglaoDB
SWAP70	B cells: Immune system	PanglaoDB
HMGA1	B cells: Immune system	PanglaoDB
CD38	B cells memory: Immune system	PanglaoDB
CD80	B cells memory: Immune system	PanglaoDB
CD84	B cells memory: Immune system	PanglaoDB
CD86	B cells memory: Immune system	PanglaoDB
NT5E	B cells memory: Immune system	PanglaoDB
PAX5	B cells memory: Immune system	PanglaoDB
PTPRC	B cells memory: Immune system	PanglaoDB
SPIB	B cells memory: Immune system	PanglaoDB
ADAM28	B cells memory: Immune system	PanglaoDB
AIM2	B cells memory: Immune system	PanglaoDB
ALOX5	B cells memory: Immune system	PanglaoDB
BACH2	B cells memory: Immune system	PanglaoDB
BANK1	B cells memory: Immune system	PanglaoDB
BLK	B cells memory: Immune system	PanglaoDB
CCR6	B cells memory: Immune system	PanglaoDB
